CSA,CSB,AUT,CSI,MFL,MDS,SDM,RAY,EPS,COM,ANG,STA,SHE
19.3,15.9,12.79,15.6,14.65,16.81,18.12,13.78,15,16,16.49,15.5,17
11.8,12.03,12.36,17,13.88,14.46,14.54,11,16,18,17.59,16.5,11
12.9,10.07,6.5,13.9,7.42,9.69,13.65,11.44,13,16,16,,10
14.2,13.69,10.64,17,12.5,14.5,16.46,15.44,12.5,16.5,13,,16.5
7.8,12.16,10.36,15.6,13.46,11.38,10.5,8.67,11,16.5,14,,16
14,15.49,10.57,16.4,11.77,12.5,14.81,10.5,13.5,17,14,17,16.5
17.8,12.29,12.86,15.6,14.5,12.77,16.85,12.06,14,17.5,15,,16.25
7.4,13.84,12.86,16.4,15.04,11.69,16.35,13.42,12,16.5,12.5,,15
10.7,15.71,12.86,15.6,12.62,15.85,15.46,12.89,14.5,15.5,14.36,15,14
9.1,15.46,14.36,16.4,17.23,16.85,15.73,11,14.5,14,13,16.5,17.5
17.9,16.86,13.21,10.5,13.35,16.42,17.92,11.61,17,16.5,17.2,,15
9.4,13.86,14.07,15.6,16.15,12,17,10.78,13,16,15,,14
10.6,10.71,11.29,15.6,12.27,10.62,15.69,11.72,15,16,15,,14
15.8,18.09,14.29,10.5,14.96,13.85,18.46,15.17,14.5,17,16,,11.5
15.4,12.14,10.43,15.6,11.73,10.58,15.92,13.44,14.5,15.5,14,18,14
13.2,16.43,11.36,10.5,12.12,16.19,15.46,10.61,16.5,16,14,,15.5
11.7,14.36,11.64,15.6,15.58,13.5,16.96,11.11,15,17.5,14,14.5,15
8.2,14.65,13,16.8,16.12,15.15,13.46,13.67,16,17,16.38,17,14
17.6,11.56,10.57,16.8,12.12,14.81,11.96,9.94,15.5,16.5,14,14,16
9.5,16.11,11.64,15.6,11.46,12.81,16.5,9.94,14.5,16.5,15,15.75,16
8.4,11.75,11.64,17,11.85,13.38,15.5,10.33,12,14.5,15.23,15.75,11.5
12,15.47,11.79,13.9,14.35,12.65,14.46,14.61,15,16.5,16.57,16.5,18.5
15.6,10.36,11.14,17,11.69,14.46,12.73,9.33,13,14.5,17.1,17,14.5
11,15.14,9.64,17,12.73,10.42,13.23,12.78,14,17,14.94,,16.8
19.6,17.64,13.93,15.6,15.23,14.85,16.81,12.61,14,16,15,16,20
1.96,4.95,6.71,16.4,8.42,5.19,4,13.25,,14,15.9,14.65,20
7.2,13.29,12.43,10.5,12.54,9.62,11.23,11.22,13,15,18.03,13.8,14.5
12.5,15.87,11.79,16.4,17.31,14.08,16.04,13,15,15.5,17.55,15,14
19,16.46,13.29,16.8,14.42,14.96,18.65,13.61,16,16.5,17.6,16.5,13
15.4,14.79,13.5,10.5,15.15,13.08,16.08,12.22,16.5,14.5,17.09,15.85,14
17.5,12.56,11.21,16.8,9.42,14.73,18.65,12.94,15,16,14,17,16.5
10.1,13.94,9.5,16.8,12.96,11.77,12.19,10.72,14.5,16,15,15.5,16.5
18.6,14.18,12.64,16.8,11.04,17.08,17.62,12.33,14,17.5,15,17,18
9.9,12.71,10.93,16.8,10.12,12.77,11.5,12.06,14.5,18,15,17,9.5
14.8,15.33,12.93,15.6,13.65,11.88,14.81,11.72,13.5,17,14,16.75,18
9.6,11.61,9.36,15.6,14.65,13.88,12.81,10.89,12.5,16.5,15,14,15
11.7,16.57,11.5,10.5,13.08,12.69,15.92,12.94,14.5,16,11,16.5,14.5
13.4,16.74,13.64,16.8,16.08,12.96,16.38,17.33,14.5,16,15.98,14.5,17.3
14.6,12,11.71,15.6,12.81,12.5,12.85,11.44,16,16,14.8,15.5,15
14.8,15.35,10.64,14.3,11.85,12.42,13.77,12.06,14,15.5,18,16.5,15.5
11,15.86,9.86,10.5,10.42,9.46,12.85,14.17,13,16.5,15,,17.2
6.2,15.05,10.5,10.5,12.62,10.38,13.23,11.61,14.5,16,13,17,15
6.5,13.33,10.43,14.3,9,10.38,13.27,8.44,14,18,15,16,14
9,11.9,14.43,16.4,11.38,9.15,9.88,10.33,13,16,15.5,14.7,15
15.6,14.34,11.57,16.8,12.81,9.23,14,14.17,13,15.5,15,14.5,11
16.9,14.75,12.93,17,14.54,15.04,15.92,16.11,15,16.5,15.83,15.55,15.5
13,17.79,11.29,10.5,11.88,14.12,15.85,13,16,16.5,14,16.4,17
13.1,11.5,,,9.96,8.88,12.62,13.44,,,,,0
12.5,13.86,7.57,17,12.81,11.81,17,12.78,15,16.5,15,,14
5.8,12,10.21,14.3,11.23,9.46,10.04,10.44,14,17,16.72,14.7,12.5
10.8,10.49,12.5,14.1,9.23,11.38,13.15,14.39,15,17,18.23,16.2,17.5
12,12.46,8.86,13.9,12.92,12.35,13.69,11.94,14.5,14.5,15.84,17.5,14
20,15.16,12.29,13.9,14.46,15.65,15.58,13.44,14,16,11.5,16.75,17
12.7,12.15,11.93,16.8,11.69,13.58,16.08,11.33,14,16.5,15.78,15.85,16
14.9,13.91,12.57,16.8,16.38,12.04,19.08,12.67,14,17,15,17.35,17.5
11.2,16.94,11.93,16.4,12.31,11.85,14.19,12,15,14.5,13,16.45,16
8.4,15.57,9.43,14.3,13.69,14.35,12.69,8.17,12.5,16,12,0,18
2.6,5.46,9.79,10.5,10.77,5.96,4.92,7.33,14,13,16,11,16.5
6.4,13.87,9.64,16.8,12.19,11.04,8.27,8.28,16,17,14,16.5,15
8.6,14.14,14.36,16.4,11.73,13.58,11.5,13.17,16.5,17,14,16.75,18
18.1,13.66,13.43,10.5,12.27,12.27,13.92,15.28,14.5,15.5,14.58,14.6,17
10.3,12.36,12.93,13.9,11.08,15.08,10.46,9.17,14.5,16,14,17.5,12
12.6,13.14,10.57,14.3,10.04,11.69,15.27,9.83,14.5,17.5,11,13,15
13.7,14.57,15.86,13.9,13.77,15.27,15.38,13.94,15,15.5,14,17.5,18.5
14,15.71,10.5,14.3,11.85,11.65,13.54,15.06,14.5,16.5,14.58,13.75,14
11.1,14.4,10.71,15.2,15.12,12.04,16.23,12.5,13,17,9,14.7,12.5
3.5,10.8,10.21,16.8,11.12,12.85,10.15,11.94,13,16,15,15,16.3
17.2,13.43,10.93,13.9,12.46,13.19,17.46,12.61,,18,12,16.5,16.5
17.8,12.81,10.43,16.8,16.88,15.62,18.15,15.5,15.5,16,14.5,14.5,8
7,11.74,15.36,15.6,15.81,13.58,14,11.72,14,16.5,18.03,12.75,11
10.4,14.43,10.57,16.4,10.23,12.38,12.15,7.83,14,17,16.53,,15.5
10.1,11.93,8,14.3,10.92,9.88,12.04,9.06,16,15.5,15,16,13
16,13.94,11.93,16.4,12.77,13.62,13.08,13.22,14.5,16.5,15,17.5,17
10.6,14.82,9.86,14.3,12.12,15.35,16.46,15.5,15,16,16,,17
9.1,13.96,13.71,12.9,13.23,15.12,14.58,12.5,11.5,16,14,,12
11,12.63,12.21,14.1,10.42,12.08,10.19,11.72,16,16,15.65,16.25,19
12.6,13.96,10.14,15.6,15.42,7.42,11.27,10.06,16,17,11,16,15
18,15.06,13.07,15.6,12.5,14.15,16.88,10.44,14,18,14,,14.5
8.6,13.07,12.14,15.6,8.62,14.38,16.5,11,11,16.5,11.6,15.25,16
12.2,16.8,12.86,15.6,11.54,13.38,14.19,13.28,15,16,16.43,16.5,13
10.4,11.91,14.14,15.6,13.5,10.58,14.19,12.56,13,16.5,17,17,13
10.4,11.21,8.93,15.6,9.46,7.62,12.88,10.72,12.5,15.5,15,,12
2.3,12.29,11.07,15.6,9.62,5.54,7.35,10.39,14,17,14,16.2,14
11.2,14.21,11.71,17,10.85,15.19,14.77,13.11,15.5,17.5,14,16.75,16
11.2,15.57,14.86,15.2,12.15,14.12,15.04,11.06,13,18,14,16.8,15
8,11.01,12.07,17,10.92,12.23,15.15,10.22,13.5,16,12,15,12
11.4,10.29,14.79,13.9,10.5,10.23,10.35,11.44,13.5,17,16,,9.5
15.2,14.86,12.79,14.3,12.04,15.46,18.96,14.83,14,16,11.51,15.5,15
19.1,17.93,15.71,15.2,18.15,18.19,17.81,17.78,13,18,15,,14
11.8,11.58,13.36,12.9,13.69,13.42,12.42,12.67,14,16.5,15,15.8,16
13,14.43,13.5,16.4,11,12.38,14.54,12.5,14,16,14.98,,19.5
16.6,16.64,12.36,14.1,11.04,15.27,16.54,14.06,15,17,18.23,17.15,15.5
11.3,14.14,11.21,15.6,13.19,12.92,17.73,13.67,14.5,16,17.87,,16
9.7,11.79,13.21,16.4,13.42,12.35,11.08,12.5,14,16,14.78,15.5,15
19.4,16.9,13.21,14.3,12.08,15.96,17.77,15.5,14,16.5,12,16,15
13.1,11.82,14.57,14.1,11.92,12,13.92,11.06,15,15.5,16.16,14.5,12.5
15.2,11.45,10.57,17,10.15,9.73,15.54,12.78,13,17,17.97,,14
14.1,12.49,9.57,16.4,11.19,14,13.58,9.94,13,16,13.5,,15.5
13,13.43,14.29,13.9,11.62,12.88,12.88,12.78,15.5,15.5,14.5,14.5,10.5
16.2,12.43,11.57,16.4,8.58,12.15,12.69,12,16,17,15,18,16
8.3,13.01,9.14,15.6,13.65,13.81,10.65,9.72,16,16,14,16.5,15
11.2,15.66,11.21,15.6,11.12,16,15.73,13.44,15,17.5,15.54,,17.75
11.6,13.57,11.29,13.9,9.54,12.96,16.23,12.61,14.5,16,13.5,15.75,16
9.8,11.36,13.36,16.4,11.5,9.08,14.23,12,13.5,13.5,13.3,13.5,14
8,13.14,10.36,16.4,12.38,13.23,14,10.89,12.5,16.5,14.85,15.2,17.5
7.2,13.4,13.43,15.2,12.31,10.62,12.62,11.28,12,15.5,15,,20
9.7,14.71,10.5,16.4,15.23,12.62,18.62,15.67,14.5,18,16.06,16.15,15
17.2,18.11,10.71,14.4,9.38,16.46,19.04,12.67,14.5,17.5,16.67,,14
18.8,14.71,13.14,13.9,14,14.12,18.27,12.11,14.5,16.5,16,15.85,12
4.1,9.99,12.93,17,9.5,10.62,11.27,10,14,16.5,15,15.6,11
17,16.59,13.86,16.4,14.58,13.77,17.81,13.61,15.5,16,16,,15
12.5,15.03,15.14,14.4,13.5,10.58,15.5,14.33,16.5,17,17.43,15,12.25
16.8,14.29,14.64,16.4,14.15,11.38,13.08,13.67,14.5,16.5,15.24,15,18
11.4,14.08,12.43,16.4,8.27,13,14.88,10.94,14,18.5,14,,14.5
13.2,12.86,12.64,15.6,11.23,13.15,15.77,12.44,12.5,16.5,15,,16
17,15,9.86,14.3,13.27,12.46,17.08,10.56,14.5,15.5,15,15,15
8.2,14.24,9.79,15.6,13.69,13.65,15.81,10.83,16.5,16,16,,16
8.5,10.96,12.57,17,9,14.73,16.08,12.11,15,17,15,,18.4
17.2,13.6,11.57,15.6,9.65,13.73,15.58,10.17,15,17.5,14,16.9,17
14.6,14.2,14.14,16.4,14.69,13,15.73,15.67,15,17.5,14,16.85,16
12.4,11.86,10.21,15.6,12.42,11.54,12.42,13.94,14,16.5,15,17,17.2
9.7,15.16,12.71,15.6,13.5,12.5,15.12,14.17,15,16.5,16.33,16.85,13
16,14.43,10.29,16.4,12,13.54,16.38,12.56,15,16,14,16.2,11.75
12.6,16.79,11.79,16.4,12.58,12.69,11.27,9.78,12,15.5,15,14,10
15,12.06,10.5,12.9,10.81,14.69,15.73,11.67,12,17,15,18,14
10.8,15.03,11.14,12.9,13,12.58,14.88,16.33,10,16,18.25,16,6.5
5.1,10.67,11.43,15.6,10.69,12.15,12.77,13.17,14,14,13.5,14.7,14
9.8,10.18,10.36,16.4,9.15,11.58,13.65,10.67,13.5,16,14,15,15
16.4,12.43,11.14,16.4,14.15,12.88,15.08,11.39,13,16,13.5,16.75,12
9.4,10.14,9.21,16.4,10.46,10.62,11.62,9.72,13,16.5,13.5,16.95,10
5.9,14.72,9.14,15.6,10.27,6.73,14.69,9.72,13,17.5,13.5,18,14
3.4,14,9.57,15.2,10.38,5.88,9.15,9.33,14,14.5,14,15,14
15.4,16.13,14.93,12.9,12.23,14.46,17.23,14.44,16,16,14,16.25,18.37
17.8,15.86,13.21,16.4,13.15,13.69,17,15.39,15.5,15,14,16.1,18.87
14.3,13.16,8.29,12.9,8.23,9.54,14.42,13.61,15,18,15.5,14,15
6.8,10.93,8.71,16.4,8.69,10.77,14.12,12.33,16.5,16.5,10.1,15.5,14
13.8,16.14,11.29,10.5,11.27,13.12,17.08,11.33,15,16.5,15,16.5,16
10.6,14.4,11.93,12.9,14.77,13.92,18.73,11.61,14.5,15.5,14,13,16
6.7,14.69,12.57,16.4,14.19,11.19,14.35,12.11,13,17.5,12,17.3,13
17.9,11.57,9.79,16.4,10.38,10.04,12.85,10.06,15.5,15,16.32,15.5,17
19.2,17.6,13.14,14.4,11.88,13.65,17.81,15.67,15,17,17.28,17,16
17.9,16.71,13.36,16.4,13.81,17.15,17.19,15.83,14,16,14,17,14.25
13.8,13.86,12.21,14.3,13.38,10.19,14.23,13,14,16,16.03,15,15
4.8,11.24,11.86,5,9.42,11.12,8.85,8.67,10,17,15,17,14
11.3,14.64,11.57,15.6,11.54,14.46,18.04,12.22,17,18,16.84,15.5,18
7.6,14.75,8.29,15.2,9.15,12.58,12.92,10,13,16,12.6,13,15
9.4,11.78,13,14.4,10.58,12.19,15.27,12.33,17,16.5,15,15.35,13.5
13.4,14.77,10,12.9,9.85,14.73,13.35,11.5,12,17.5,16,,16.5
14.1,16.77,15.14,14.4,13.46,17.46,17.96,16,14.5,16.5,17.44,,15
15.1,15.66,13.93,15.2,14.77,13.12,17.15,12.39,15.5,17,14,15.75,17
15.9,17.43,13.93,15.6,13.69,17.73,15.5,14.33,19,17.5,11,,17
18.4,14.82,13.93,12.9,11.38,15.15,16.46,14.78,15.5,16.5,16.01,16.5,16
18.9,15.43,14,16.4,14.31,13.85,18.08,14.06,15,15.5,16.1,15.85,15
17.6,12.78,14,12.9,13.58,13.85,14.5,14.83,14,16.5,16.93,15.7,16
8.7,13.66,10.64,12.9,8.19,8.77,10.5,8.17,18.5,16,15,13.5,13.2
12.4,16.71,10.36,15.2,9.5,13.19,16.73,12.28,16.5,16,14,16.5,14
8,15.14,14.5,14.4,12.15,13.54,16.58,13.33,14.5,15.5,15,16,12.5
17.9,14.91,13.21,15.6,12.54,14.12,17.65,13.44,14.5,16.5,15,,15.5
20,16.44,17.79,14.4,16.19,19.15,18.96,16,16.5,18,17.53,16.7,13
13.7,11.71,10.86,13.9,11.62,12.54,15.69,11.17,14.5,16,18.65,,17.5
9.6,11.29,13.71,15.6,8.12,11.12,14.08,8.5,,15,16.1,12.7,16
10.7,12.86,10.36,15.2,9.35,11.35,14.19,10.5,15,16,15.98,16,16
17,13,11.79,16.4,11.19,12.42,16.77,12.72,15.5,16,14,17,15.5
13.6,15.21,13.57,14.3,15.23,16.15,17.31,11.56,16,17,16.29,16.5,9
13.6,14.14,8.57,15.2,10.04,11.73,15.62,10.28,13,16,15.82,17.5,15
18,13.86,11.64,15.6,11.5,13.04,12.96,12.33,15.5,17.5,16.83,,15.5
13.8,16.77,10.93,15.2,15.69,18.73,13.27,11.44,16,16.5,18.4,,14.5
10,15.06,10.5,16.4,12.08,13.58,12.42,8.83,10,15.5,14,,14
7.2,15.21,9.29,14.4,8.42,13.62,17.65,12,16.5,18,18.12,15,18
7.7,9.91,10.36,16.4,11.88,7.23,11.77,7.89,13.5,15.5,12.17,14.8,16
14.6,11.21,13,17,10.23,13.77,12.38,9.89,16,15.5,14.5,16.5,17.5
10,12.86,11.07,15.6,10.35,11.88,14.46,10.67,19,17.5,12,,13
12.8,14.84,12.64,15.6,13.77,12.19,15.12,11.5,16.5,17,15,,16.5
16.8,14.41,11.64,12.9,11.31,12.04,17.58,12.17,16,15.5,15.28,15,15
13,12.69,12,14.1,9.69,12.19,14.96,11.94,13,14.5,14,14.75,19
8.9,12.06,13.14,14.4,12.15,9.04,13.42,10.56,13,16.5,14,17.5,18
7.1,13.45,10.71,15.6,10.54,10.31,15.96,11.39,12,16.5,17.98,16.5,17
14.8,14.11,14.43,15.6,13.65,12.5,17.81,15.44,14.5,15.5,14,16.95,15
16.7,13.23,10.71,14.1,11.31,10.81,12.88,8.61,14,15.5,15,14.35,14
11.1,11.57,12.07,15.2,11.81,12.58,13.15,11.22,15,16.5,15,15,17.62
12.2,12.81,13.14,12.9,10.58,13.62,17.58,12,15.5,16,16.76,17,16.25
19,16.99,14.5,15.6,16.69,15.46,19.19,15.22,13.5,18.5,18.53,16,18
8.2,18.5,12.57,15.6,13.96,13.04,16.77,11.33,16,17,13,15,11.75
16.9,17,13.57,15.6,16.96,14.38,15.96,14.28,14,17,17.03,16.55,12.5
10.2,14.68,11,14.1,8.62,11.42,9.81,8.28,16.5,15.5,12.5,16.3,15
12.6,14.5,13.36,14.4,12.85,14.58,16.42,13.56,12,17.5,13.5,17,17.75
17.3,17.21,13,15.6,12.69,15.92,18.31,13.89,15,15.5,15,15.25,14
11.8,15.14,13.21,16.4,11.88,10.92,16.08,12.33,13,17.5,15.13,16.35,16.5
12.4,11.36,11.21,16.4,11.5,11.69,13.23,12.28,15,18,14,16.5,16
14.1,14.82,14.07,15.6,10,13.12,10.04,15.5,15,17.5,15,16.4,12
12.4,17.37,11.93,14.1,15.38,11.73,15.88,9.22,14.5,17.5,13,16.75,18.15
13.4,14.12,11.43,14.4,9.85,12.38,14.88,10.67,14.5,16.5,16.67,16.5,16
13.7,13.49,11,15.6,12.62,12.46,15.5,11.39,13,17,17.55,16.5,14
11.2,15.56,13.14,15.6,14.12,13.88,13.15,12,14.5,16,16.79,,10.5
16.2,14.57,8.93,11.1,12.35,13.92,17.35,10,14.5,17,15,16,15
7.3,9.79,10.29,14.1,10.12,9.12,8.92,10.72,13,15,16.4,14.5,12
7.3,14.46,9.71,14.1,9.31,12.27,14.5,11.94,12,17,15,,16.5
13.1,13.24,13.64,14.4,13.27,14.81,13.04,11.67,14,17.5,17.91,17.5,17.6
9.8,11,10.57,15.6,11.81,8.19,15.42,11.11,14.5,15.5,14.5,15.5,15
4.8,13.8,8.5,15.6,6.08,10.54,11.08,7.94,12,16.5,14.5,,15
9.3,10.71,10.43,15.2,10.42,12.35,16.31,14.5,14,15.5,15.78,14,13
13.3,12.43,12.79,16.4,11.12,15.92,14.31,13.61,15.5,15.5,14,16,14
9.6,11.43,10.79,16.4,9.23,11.54,12.08,11.06,14,16.5,8.5,,15
12.2,13.6,14.86,14.1,12.88,13.73,15.62,11.39,18.5,16.5,14,18,12
16.2,17.8,15.29,14.1,11.77,12.19,17.42,13.89,14.5,18,13.5,15.75,15
16.4,12.14,13.71,14.1,10.65,12.31,14.65,12.39,13,16,14,17,18
10.8,13.68,8.64,15.2,11.96,11.46,17.23,11.94,14,16.5,16.42,,12.5
11.2,16.19,10.57,12.9,10.77,13.62,12,15.06,13.5,16,16.89,16,14
19.3,15.91,17.57,16.4,16.73,17.19,19,15.33,15,17,10.5,16.65,15.25
15.5,14.14,11.93,15.6,11.19,8.96,12.08,11.67,17,17,16,,18
12.9,13,10.71,15.6,11.23,12.73,15.5,10.44,13,16.5,14,15,15
